도감번호,이름,과,꽃색,색_근거,꽃형태,목본,관찰건수
1106,사상자,Apiaceae,#9870B8,이름,umbel,,1781
293,개다래,Actinidiaceae,#F5F2E8,과,petal5,Y,1767
659,단풍마,Dioscoreaceae,#D0D4A0,과,tiny_spike,,1736
863,맥문동,Liliaceae,#F0E0C0,과,tepal6,,1736
1110,사철쑥,Asteraceae,#F0C048,과,ray_disc,,1726
2029,후박나무,Lauraceae,#D8D890,과,tiny_cluster,Y,1720
1417,야광나무,Rosaceae,#F5F0EA,과,petal5,Y,1709
571,낚시제비꽃,Violaceae,#9888C8,과,violet,,1685
239,가시박,Cucurbitaceae,#F0D858,과,star5,,1684
1610,장대여뀌,Polygonaceae,#F0D8DC,과,tiny_spike,,1682
1843,큰방가지똥,Asteraceae,#F0C848,종,ray_disc,,1672
1178,삿갓나물,Liliaceae,#F0E0C0,과,tepal6,,1668
1278,소태나무,Simaroubaceae,#D8DCA0,과,tiny_cluster,Y,1665
816,떡쑥,Asteraceae,#F0C048,과,ray_disc,,1661
1188,새모래덩굴,Menispermaceae,#D8DCA8,과,tiny_cluster,Y,1647
387,고욤나무,Ebenaceae,#E8E4C0,과,bell,Y,1645
1313,수영,Polygonaceae,#F0D8DC,과,tiny_spike,,1643
1368,알록제비꽃,Violaceae,#9888C8,과,violet,,1634
1759,참반디,Apiaceae,#F5F2EC,과,umbel,,1631
1017,벼룩이자리,Caryophyllaceae,#9870B8,이름,petal5_notched,,1610
938,미나리,Apiaceae,#F5F2EC,과,umbel,,1588
806,딱지꽃,Rosaceae,#F5F0EA,과,petal5,,1585
593,넓은잎외잎쑥,Asteraceae,#F0F0EC,이름,ray_disc,,1578
1015,벼룩나물,Caryophyllaceae,#F8F5F0,과,petal5_notched,,1568
963,바위채송화,Crassulaceae,#F0D850,과,star5,,1554
1975,할미밀망,Ranunculaceae,#F5F2EC,종,petal5,,1541
1280,속속이풀,Brassicaceae,#F5F5F0,과,cross4,,1536
1766,참오동나무,Scrophulariaceae,#B090C8,과,two_lip,Y,1532
300,개맥문동,Liliaceae,#F0E0C0,과,tepal6,,1531
1479,왕머루,Vitaceae,#BCC890,종,tiny_cluster,Y,1527
1351,쑥,Asteraceae,#F0C048,과,ray_disc,,1517
1987,향유,Lamiaceae,#A888C8,과,lipped_spike,,1517
400,곰딸기,Rosaceae,#E8A0B0,종,petal5,,1500
653,다릅나무,Fabaceae,#C888C0,과,pea,Y,1499
1545,윤판나물,Liliaceae,#F0E0C0,과,tepal6,,1487
1420,얇은잎고광나무,Saxifragaceae,#F0F0EC,이름,panicle_small,Y,1482
1630,제비쑥,Asteraceae,#F0C048,과,ray_disc,,1477
1289,솜방망이,Asteraceae,#F0C048,과,ray_disc,,1475
952,밀나물,Liliaceae,#F0E0C0,과,tepal6,,1474
1492,왜광대수염,Lamiaceae,#A888C8,과,lipped_spike,,1468
1623,점박이천남성,Araceae,#A0B070,종,arum,,1466
883,모시대,Campanulaceae,#A090C8,과,bell,,1459
1954,피나물,Papaveraceae,#F0C840,종,poppy,,1457
1917,털제비꽃,Violaceae,#9888C8,과,violet,,1447
981,배풍등,Solanaceae,#F0F0E8,과,star5,,1445
268,갈퀴꼭두서니,Rubiaceae,#F2F2EA,과,star5,,1438
345,갯메꽃,Convolvulaceae,#B0A0D8,과,funnel,,1433
467,금창초,Lamiaceae,#F0C440,이름,lipped_spike,,1426
1824,큰구슬붕이,Gentianaceae,#7888C8,과,bell,,1416
1145,산사나무,Rosaceae,#F5F0EA,과,petal5,Y,1411
1856,큰애기나리,Liliaceae,#F5F2EC,종,tepal6,,1409
409,광나무,Oleaceae,#F8F6F2,종,cross4,Y,1405
1846,큰뱀무,Rosaceae,#F5F0EA,과,petal5,,1405
1706,죽대,Liliaceae,#F0E0C0,과,tepal6,,1404
547,나도송이풀,Scrophulariaceae,#B090C8,과,two_lip,,1394
1764,참식나무,Lauraceae,#D8D890,과,tiny_cluster,Y,1392
484,긴잎여로,Liliaceae,#F0E0C0,과,tepal6,,1390
1463,오미자,Schisandraceae,#9870B8,이름,petal5,Y,1381
1468,올괴불나무,Caprifoliaceae,#F5EFE6,과,two_lip,Y,1376
1436,얼레지,Liliaceae,#F0E0C0,과,tepal6,,1371
849,말발도리,Saxifragaceae,#F8F6F2,종,panicle_small,,1347
1059,분꽃나무,Caprifoliaceae,#F5EFE6,과,two_lip,,1339
703,더덕,Campanulaceae,#A89858,종,bell,,1330
1920,털중나리,Liliaceae,#F0E0C0,과,tepal6,,1326
601,네마름,Trapaceae,#F8F5F0,과,cross4,,1322
1580,자금우,Myrsinaceae,#F0C440,이름,star5,Y,1318
1334,신감채,Apiaceae,#F5F2EC,과,umbel,,1303
1757,참마,Dioscoreaceae,#D0D4A0,과,tiny_spike,,1293
294,개당주나무,Saxifragaceae,#F5F0E8,과,panicle_small,Y,1288
1960,하늘타리,Cucurbitaceae,#F5F2EC,종,star5,,1285
1127,산달래,Liliaceae,#F0E0C0,과,tepal6,,1267
1930,퉁둥굴레,Liliaceae,#F0E0C0,과,tepal6,,1265
988,백선,Rutaceae,#F0F0E4,과,petal5,Y,1263
1300,쇠비름,Portulacaceae,#E890A8,과,star5,,1263
1684,좁쌀냉이,Brassicaceae,#F5F5F0,과,cross4,,1263
396,골등골나물,Asteraceae,#F0C048,과,ray_disc,,1262
290,개구리자리,Ranunculaceae,#F0C848,종,petal5,,1259
1761,참빗살나무,Celastraceae,#C8D0A0,과,tiny_cluster,Y,1257
879,멸가치,Asteraceae,#F0C048,과,ray_disc,,1253
364,검노린재나무,Symplocaceae,#F5F2EC,과,panicle_small,Y,1242
495,까마귀머루,Vitaceae,#BCC890,과,tiny_cluster,Y,1235
1305,수리딸기,Rosaceae,#F5F0EA,과,petal5,,1234
1181,상산,Rutaceae,#F0F0E4,과,petal5,Y,1231
1296,송이풀,Scrophulariaceae,#B090C8,과,two_lip,,1223
1325,쉽싸리,Lamiaceae,#A888C8,과,lipped_spike,,1212
729,돈나무,Pittosporaceae,#F5F2E8,과,star5,Y,1211
1586,자주괴불주머니,Fumariaceae,#9068B0,이름,spurred,,1204
1346,싸리냉이,Brassicaceae,#F5F5F0,과,cross4,,1201
1731,진득찰,Asteraceae,#F0C048,과,ray_disc,,1190
2040,흰민들레,Asteraceae,#F8F6F2,이름,ray_disc,,1189
1829,큰낭아초,Fabaceae,#C888C0,과,pea,,1184
2024,회나무,Celastraceae,#C8D0A0,과,tiny_cluster,Y,1183
530,꿩의바람꽃,Ranunculaceae,#F0C848,과,petal5,,1182
991,백운산원추리,Liliaceae,#F8F6F2,이름,tepal6,,1182
1159,산조팝나무,Rosaceae,#F5F0EA,과,petal5,Y,1182
1876,큰피막이,Apiaceae,#F5F2EC,과,umbel,,1181
289,개구리발톱,Ranunculaceae,#F0C848,과,petal5,,1180
545,나도밤나무,Sabiaceae,#E8E8C0,종,panicle_small,Y,1176
697,대팻집나무,Aquifoliaceae,#F0F0E8,과,tiny_cluster,Y,1169
1537,유럽점나도나물,Caryophyllaceae,#F8F5F0,과,petal5_notched,,1165
1705,주홍서나물,Asteraceae,#E07088,이름,ray_disc,,1162
1373,애기괭이눈,Saxifragaceae,#F5F0E8,과,panicle_small,,1157
1104,사마귀풀,Commelinaceae,#7898D8,과,commelina,,1156
867,머위,Asteraceae,#F0C048,과,ray_disc,,1150
1460,오갈피나무,Araliaceae,#E0E4C8,과,ball_cluster,Y,1138
1874,큰천남성,Araceae,#C0C888,과,arum,,1128
1010,벌씀바귀,Asteraceae,#F0C848,종,ray_disc,,1120
1722,쥐손이풀,Geraniaceae,#D898BC,종,petal5,,1112
233,가막사리,Asteraceae,#F0C848,종,ray_disc,,1107
1462,오리방풀,Lamiaceae,#A888C8,과,lipped_spike,,1105
1404,애기장구채,Caryophyllaceae,#F8F5F0,과,petal5_notched,,1099
1049,부채마,Dioscoreaceae,#D0D4A0,과,tiny_spike,,1097
1607,장구밥나무,Tiliaceae,#F0E8B8,과,umbel,,1090
737,돌양지꽃,Rosaceae,#F5F0EA,과,petal5,,1089
1455,영아자,Campanulaceae,#9870B8,이름,bell,,1088
1412,애기풀,Polygalaceae,#A890C8,과,pea,,1086
667,닭의덩굴,Polygonaceae,#F0D8DC,과,tiny_spike,,1072
241,가시여뀌,Polygonaceae,#F0D8DC,과,tiny_spike,,1069
284,개갈퀴,Rubiaceae,#F2F2EA,과,star5,,1069
1445,연리갈퀴,Fabaceae,#C888C0,과,pea,,1069
807,딱총나무,Caprifoliaceae,#F5EFE6,과,two_lip,Y,1065
824,마,Dioscoreaceae,#D0D4A0,과,tiny_spike,,1065
1980,해국,Asteraceae,#F0C048,과,ray_disc,,1064
1770,참조팝나무,Rosaceae,#F5F0EA,과,petal5,Y,1053
1746,찰피나무,Tiliaceae,#F0E8B8,과,umbel,Y,1035
240,가시상추,Asteraceae,#F0C048,과,ray_disc,,1033
1742,짝자래나무,Rhamnaceae,#9870B8,이름,tiny_cluster,Y,1030
1320,순비기나무,Verbenaceae,#B49AD0,과,panicle_small,Y,1029
341,갯까치수염,Primulaceae,#F0D058,과,star5,,1027
1719,쥐깨풀,Lamiaceae,#A888C8,과,lipped_spike,,1027
269,갈퀴나물,Fabaceae,#8878C0,종,pea,,1018
1638,조개나물,Lamiaceae,#A888C8,과,lipped_spike,,1014
1825,큰꼭두서니,Rubiaceae,#F2F2EA,과,star5,,1010
773,둥근잎나팔꽃,Convolvulaceae,#B0A0D8,과,funnel,,1009
1152,산여뀌,Polygonaceae,#F0D8DC,과,tiny_spike,,1008
415,괴불나무,Caprifoliaceae,#F5EFE6,과,two_lip,Y,996
1822,큰괭이밥,Oxalidaceae,#F5EFE8,종,star5,,990
1882,타래난초,Orchidaceae,#E8B0C0,종,orchid,,986
980,배암차즈기,Lamiaceae,#A888C8,과,lipped_spike,,979
230,가는장구채,Caryophyllaceae,#F8F5F0,과,petal5_notched,,975
1117,산검양옻나무,Anacardiaceae,#E0E0B0,과,panicle_small,Y,972
624,노루삼,Ranunculaceae,#F0C848,과,petal5,,971
1885,탑꽃,Lamiaceae,#A888C8,과,lipped_spike,,957
1852,큰산꿩의다리,Ranunculaceae,#F0C848,과,petal5,,955
1432,어수리,Apiaceae,#F5F2EC,과,umbel,,951
735,돌소리쟁이,Polygonaceae,#F0D8DC,과,tiny_spike,,950
1948,풀싸리,Fabaceae,#B878B0,종,pea,,948
1646,좀가지풀,Primulaceae,#F0D058,과,star5,,946
1890,터리풀,Rosaceae,#F5F0EA,과,petal5,,942
353,갯완두,Fabaceae,#C888C0,과,pea,,929
887,뫼제비꽃,Violaceae,#9888C8,과,violet,,928
1013,벗풀,Alismataceae,#F8F5F0,과,petal5,,925
2003,호제비꽃,Violaceae,#9888C8,과,violet,,925
244,가죽나무,Simaroubaceae,#D8DCA0,과,tiny_cluster,Y,922
2050,흰젖제비꽃,Violaceae,#F8F6F2,이름,violet,,921
1438,얼치기완두,Fabaceae,#C888C0,과,pea,,917
994,뱀무,Rosaceae,#F5F0EA,과,petal5,,912
1201,서양금혼초,Asteraceae,#F0C440,이름,ray_disc,,911
1820,큰개현삼,Scrophulariaceae,#B090C8,과,two_lip,,910
281,갓,Brassicaceae,#F5F5F0,과,cross4,,907
1481,왕버들,Salicaceae,#D8D8B0,과,catkin,Y,907
920,미국나팔꽃,Convolvulaceae,#B0A0D8,과,funnel,,906
870,멀구슬나무,Meliaceae,#F0EEE0,과,panicle_small,Y,903
478,긴사상자,Apiaceae,#9870B8,이름,umbel,,897
1642,조밥나물,Asteraceae,#F0C048,과,ray_disc,,896
1310,수염가래꽃,Campanulaceae,#9098C8,종,bell,,892
1359,아그배나무,Rosaceae,#F5F0EA,과,petal5,Y,882
2016,활량나물,Fabaceae,#E8D078,종,pea,,881
1506,외대으아리,Ranunculaceae,#F0C848,과,petal5,,880
1879,키버들,Salicaceae,#D8D8B0,과,catkin,Y,877
1179,상동나무,Rhamnaceae,#C8D098,과,tiny_cluster,Y,876
1328,시닥나무,Aceraceae,#C8CC88,과,tiny_cluster,Y,876
441,궁궁이,Apiaceae,#F5F2EC,과,umbel,,871
851,말채나무,Cornaceae,#F0F0E4,과,cross4,Y,862
1799,층꽃나무,Verbenaceae,#B49AD0,과,panicle_small,,853
1523,울산도깨비바늘,Asteraceae,#F0C848,종,ray_disc,,852
1896,털괭이눈,Saxifragaceae,#F5F0E8,과,panicle_small,,852
1834,큰도꼬마리,Asteraceae,#F0C048,과,ray_disc,,851
731,돌단풍,Saxifragaceae,#F5F0E8,과,panicle_small,,849
474,긴담배풀,Asteraceae,#F0C048,과,ray_disc,,848
1857,큰앵초,Primulaceae,#F0D058,과,star5,,848
451,금강애기나리,Liliaceae,#F0E0C0,과,tepal6,,846
1034,복자기,Aceraceae,#C8CC8C,종,tiny_cluster,Y,845
381,고려엉겅퀴,Asteraceae,#F0C048,과,ray_disc,,844
818,뚱딴지,Asteraceae,#F0C048,과,ray_disc,,844
859,매화노루발,Pyrolaceae,#F2F0E8,과,bell,,840
540,나도냉이,Brassicaceae,#F5F5F0,과,cross4,,838
670,담배풀,Asteraceae,#F0C048,과,ray_disc,,834
856,매발톱나무,Berberidaceae,#F0D860,과,star5,Y,833
1151,산씀바귀,Asteraceae,#F0C048,과,ray_disc,,832
401,곰의말채나무,Cornaceae,#F0F0E4,과,cross4,Y,821
795,들정향나무,Oleaceae,#F0F0E0,과,cross4,Y,819
1306,수리취,Asteraceae,#F0C048,과,ray_disc,,814
1113,산가막살나무,Caprifoliaceae,#F5EFE6,과,two_lip,Y,811
739,돌채송화,Crassulaceae,#F0D850,과,star5,,808
1309,수양버들,Salicaceae,#D8D8B0,과,catkin,Y,807
500,까치고들빼기,Asteraceae,#F0C048,과,ray_disc,,803
918,미국까마중,Solanaceae,#F0F0E8,과,star5,,801
889,묏미나리,Apiaceae,#F5F2EC,과,umbel,,797
507,꼬리조팝나무,Rosaceae,#F5F0EA,과,petal5,Y,795
496,까마귀베개,Rhamnaceae,#C8D098,종,tiny_cluster,Y,793
518,꽃받이,Boraginaceae,#98A8D8,과,star5,,793
1371,애기고추나물,Clusiaceae,#F0D050,과,star5,,785
1554,은분취,Asteraceae,#F0C048,과,ray_disc,,782
1717,중대가리풀,Asteraceae,#F0C048,과,ray_disc,,779
741,동의나물,Ranunculaceae,#F0C840,종,petal5,,769
1579,자귀풀,Fabaceae,#9870B8,이름,pea,,764
1666,좀사철나무,Celastraceae,#C8D0A0,과,tiny_cluster,Y,764
301,개미자리,Caryophyllaceae,#9870B8,이름,petal5_notched,,763
370,검종덩굴,Ranunculaceae,#F0C848,과,petal5,,761
1031,보춘화,Orchidaceae,#E8C0D0,과,orchid,,756
310,개불알풀,Scrophulariaceae,#B090C8,과,two_lip,,755
905,물머위,Asteraceae,#F0C048,과,ray_disc,,755
528,꽝꽝나무,Aquifoliaceae,#F0F0E8,과,tiny_cluster,Y,753
1617,전동싸리,Fabaceae,#C888C0,과,pea,,745
1466,옥잠난초,Orchidaceae,#E8C0D0,과,orchid,,743
1270,세잎종덩굴,Ranunculaceae,#F0C848,과,petal5,,742
340,갯기름나물,Apiaceae,#F5F2EC,과,umbel,,741
1926,톱풀,Asteraceae,#F0C048,과,ray_disc,,741
1190,새삼,Convolvulaceae,#B0A0D8,과,funnel,,740
562,나래회나무,Celastraceae,#C8D0A0,과,tiny_cluster,Y,736
1452,염주괴불주머니,Fumariaceae,#C0A0D0,과,spurred,,736
1550,은난초,Orchidaceae,#F8F6F2,종,orchid,,735
1611,장딸기,Rosaceae,#F5F0EA,과,petal5,,727
462,금붓꽃,Iridaceae,#F0C440,이름,iris,,720
848,말똥비름,Crassulaceae,#F0D850,과,star5,,718
429,구슬붕이,Gentianaceae,#7888C8,과,bell,,716
1385,애기메꽃,Convolvulaceae,#B0A0D8,과,funnel,,716
1297,송장풀,Lamiaceae,#A888C8,과,lipped_spike,,706
1914,털이슬,Onagraceae,#F0D060,과,cross4,,706
836,만수국아재비,Asteraceae,#F0C048,과,ray_disc,,703
1909,털부처꽃,Lythraceae,#C868A8,종,petal5,,699
276,감자난초,Orchidaceae,#9870B8,이름,orchid,,698
1053,북방산비장이,Asteraceae,#F0C048,과,ray_disc,,694
1675,좀작살나무,Verbenaceae,#B49AD0,종,panicle_small,Y,691
424,구릿대,Apiaceae,#F5F2EC,과,umbel,,690
458,금마타리,Valerianaceae,#F0C440,이름,panicle_small,,689
642,눈빛승마,Ranunculaceae,#F0C848,과,petal5,,689
1584,자주개자리,Fabaceae,#9068B0,이름,pea,,686
776,둥근잎유홍초,Convolvulaceae,#E07088,이름,funnel,,685
1011,벌완두,Fabaceae,#C888C0,과,pea,,683
1915,털장대,Brassicaceae,#F5F5F0,과,cross4,,680
2026,회리바람꽃,Ranunculaceae,#F0C848,과,petal5,,679
252,각시둥굴레,Liliaceae,#F0E0C0,과,tepal6,,677
1102,사데풀,Asteraceae,#F0C048,과,ray_disc,,677
1098,뻐꾹나리,Liliaceae,#F0E0C0,과,tepal6,,676
418,구기자나무,Solanaceae,#9870B8,이름,star5,Y,672
725,도꼬마리,Asteraceae,#F0C048,과,ray_disc,,672
440,굴거리나무,Daphniphyllaceae,#D8DCA8,과,tiny_cluster,Y,671
1943,푼지나무,Celastraceae,#C8D0A0,과,tiny_cluster,Y,669
1032,보풀,Alismataceae,#F8F5F0,과,petal5,,667
402,곰취,Asteraceae,#F0C048,과,ray_disc,,666
1514,우묵사스레피,Theaceae,#F5F0E8,과,camellia,Y,665
1443,여우팥,Fabaceae,#C888C0,과,pea,,662
356,갯질경,Plumbaginaceae,#D8A0C0,과,star5,,661
1004,번행초,Aizoaceae,#E888A8,과,ray_disc,,661
1892,털개구리미나리,Ranunculaceae,#F0C848,과,petal5,,658
738,돌외,Cucurbitaceae,#F0D858,과,star5,,655
388,고추,Solanaceae,#F0F0E8,과,star5,,654
1619,전호,Apiaceae,#F5F2EC,과,umbel,,652
929,미국실새삼,Convolvulaceae,#B0A0D8,과,funnel,,650
1838,큰망초,Asteraceae,#F0C048,과,ray_disc,,649
1221,선괭이밥,Oxalidaceae,#F0D060,과,star5,,648
1733,진범,Ranunculaceae,#F0C848,과,petal5,,648
206,가는기린초,Crassulaceae,#F0D850,과,star5,,647
1858,큰엉겅퀴,Asteraceae,#F0C048,과,ray_disc,,646
912,물양지꽃,Rosaceae,#F5F0EA,과,petal5,,645
1504,왜현호색,Fumariaceae,#C0A0D0,과,spurred,,643
720,도깨비가지,Solanaceae,#F0F0E8,과,star5,,641
639,눈괴불주머니,Fumariaceae,#C0A0D0,과,spurred,,639
828,마디꽃,Lythraceae,#D890B0,과,petal5,,638
1601,잔개자리,Fabaceae,#9870B8,이름,pea,,634
1386,애기며느리밥풀,Scrophulariaceae,#B090C8,과,two_lip,,633
1189,새비나무,Verbenaceae,#B49AD0,과,panicle_small,Y,632
1788,청괴불나무,Caprifoliaceae,#F5EFE6,과,two_lip,Y,630
1056,북점나도나물,Caryophyllaceae,#F8F5F0,과,petal5_notched,,629
1669,좀싸리,Fabaceae,#C888C0,과,pea,,629
1721,쥐다래,Actinidiaceae,#F5F2E8,과,petal5,Y,628
319,개싸리,Fabaceae,#C888C0,과,pea,,626
1946,풀솜나물,Asteraceae,#F0C048,과,ray_disc,,624
1762,참소리쟁이,Polygonaceae,#F0D8DC,과,tiny_spike,,623
606,노랑갈퀴,Fabaceae,#F0C848,이름,pea,,621
1792,청시닥나무,Aceraceae,#7898C8,이름,tiny_cluster,Y,621
904,물매화,Saxifragaceae,#F5F0E8,과,panicle_small,,620
1808,카나다엉겅퀴,Asteraceae,#F0C048,과,ray_disc,,615
502,까치밥나무,Saxifragaceae,#F5F0E8,과,panicle_small,,611
1092,비짜루국화,Asteraceae,#F0C048,과,ray_disc,,610
1423,양미역취,Asteraceae,#F0C048,과,ray_disc,,610
866,머루,Vitaceae,#BCC890,과,tiny_cluster,Y,608
784,들깨,Lamiaceae,#A888C8,과,lipped_spike,,606
1222,선괴불주머니,Fumariaceae,#C0A0D0,과,spurred,,606
279,감탕나무,Aquifoliaceae,#F0F0E8,과,tiny_cluster,Y,603
1431,어리연꽃,Menyanthaceae,#F5F2EC,과,star5,,603
461,금불초,Asteraceae,#F0C440,이름,ray_disc,,602
456,금난초,Orchidaceae,#F0C848,종,orchid,,601
