도감번호,이름,과,꽃색,색_근거,꽃형태,목본,관찰건수
1439,여뀌바늘,Onagraceae,#F0D060,과,cross4,,601
1358,아구장나무,Rosaceae,#F5F0EA,과,petal5,Y,596
1097,뺑쑥,Asteraceae,#F0C048,과,ray_disc,,592
2019,황벽나무,Rutaceae,#F0F0E4,과,petal5,Y,591
1434,어저귀,Malvaceae,#E8A0B8,과,funnel,,590
578,남오미자,Schisandraceae,#9870B8,이름,petal5,Y,588
1835,큰도둑놈의갈고리,Fabaceae,#C888C0,과,pea,,587
1905,털머위,Asteraceae,#F0C048,과,ray_disc,,587
1989,헛개나무,Rhamnaceae,#C8D098,과,tiny_cluster,Y,580
1465,옥녀꽃대,Chloranthaceae,#E8E8D0,과,tiny_spike,,578
414,괭이싸리,Fabaceae,#C888C0,과,pea,,575
975,방울비짜루,Liliaceae,#F0E0C0,과,tepal6,,575
686,대나물,Caryophyllaceae,#F8F5F0,과,petal5_notched,,572
1448,연복초,Adoxaceae,#F2EEE4,과,panicle_small,Y,569
871,멀꿀,Lardizabalaceae,#C8A0C0,과,tiny_cluster,Y,564
1005,벋음씀바귀,Asteraceae,#F0C048,과,ray_disc,,564
1932,파드득나물,Apiaceae,#F5F2EC,과,umbel,,563
857,매자나무,Berberidaceae,#9870B8,이름,star5,Y,562
722,도깨비부채,Saxifragaceae,#F5F0E8,과,panicle_small,,558
1191,새완두,Fabaceae,#C888C0,과,pea,,558
2053,흰진범,Ranunculaceae,#F8F6F2,이름,petal5,,557
350,갯사상자,Apiaceae,#9870B8,이름,umbel,,552
1574,일본목련,Magnoliaceae,#F8F4EC,과,magnolia,Y,545
313,개산초,Rutaceae,#F0F0E4,과,petal5,Y,544
1442,여우콩,Fabaceae,#C888C0,과,pea,,544
646,는쟁이냉이,Brassicaceae,#F5F5F0,과,cross4,,543
672,당개지치,Boraginaceae,#98A8D8,과,star5,,542
803,등수국,Saxifragaceae,#F5F0E8,과,panicle_small,,542
873,메밀,Polygonaceae,#F0D8DC,과,tiny_spike,,540
1163,산짚신나물,Rosaceae,#F0C848,종,petal5,,534
788,들메나무,Oleaceae,#F0F0E0,과,cross4,Y,533
2007,홀아비바람꽃,Ranunculaceae,#F0C848,과,petal5,,533
273,감나무,Ebenaceae,#E8E4C0,과,bell,Y,531
882,모새나무,Ericaceae,#F0DCE0,과,bell,Y,530
1071,붉나무,Anacardiaceae,#E8E8C0,종,panicle_small,Y,529
1664,좀비비추,Liliaceae,#F0E0C0,과,tepal6,,529
267,갈매나무,Rhamnaceae,#C8D098,종,tiny_cluster,Y,528
1043,부게꽃나무,Aceraceae,#C8CC88,과,tiny_cluster,,526
969,박태기나무,Fabaceae,#C888C0,과,pea,Y,523
1595,자주쓴풀,Gentianaceae,#9878C0,종,bell,,521
1014,벳지,Fabaceae,#C888C0,과,pea,,520
1076,붉은정향나무,Oleaceae,#F0F0EC,이름,cross4,Y,519
945,민둥갈퀴,Rubiaceae,#F2F2EA,과,star5,,515
696,대추나무,Rhamnaceae,#D8DCA0,종,tiny_cluster,Y,512
1974,한련초,Asteraceae,#F0C048,과,ray_disc,,512
1194,생달나무,Lauraceae,#D8D890,과,tiny_cluster,Y,510
1655,좀담배풀,Asteraceae,#F0C048,과,ray_disc,,510
303,개발나물,Apiaceae,#F5F2EC,과,umbel,,509
1023,병아리난초,Orchidaceae,#E8C0D0,과,orchid,,509
1293,솜양지꽃,Rosaceae,#F0C848,종,petal5,,509
311,개사상자,Apiaceae,#9870B8,이름,umbel,,507
1749,참골무꽃,Lamiaceae,#A888C8,과,lipped_spike,,505
1379,애기달맞이꽃,Onagraceae,#F0D060,과,cross4,,499
584,너도바람꽃,Ranunculaceae,#F0C848,과,petal5,,496
845,말나리,Liliaceae,#F0E0C0,과,tepal6,,496
1985,해변싸리,Fabaceae,#C888C0,과,pea,,494
1659,좀땅비싸리,Fabaceae,#C888C0,과,pea,,492
2045,흰여뀌,Polygonaceae,#F8F6F2,이름,tiny_spike,,491
1035,복장나무,Aceraceae,#C8CC88,과,tiny_cluster,Y,490
665,달래,Liliaceae,#F0E0C0,과,tepal6,,488
710,덩굴개별꽃,Caryophyllaceae,#F8F5F0,과,petal5_notched,,488
1670,좀씀바귀,Asteraceae,#F0C048,과,ray_disc,,487
453,금강제비꽃,Violaceae,#F0C440,이름,violet,,486
1783,천문동,Liliaceae,#F0E0C0,과,tepal6,,486
1054,북범꼬리,Polygonaceae,#F0D8DC,과,tiny_spike,,483
1901,털댕강나무,Caprifoliaceae,#F5EFE6,과,two_lip,Y,480
532,끈끈이여뀌,Polygonaceae,#F0D8DC,과,tiny_spike,,479
