도감번호,이름,KPNI국명,학명,관찰기준학명,과,자생구분,관찰건수,개화기_초안,계절_초안,희귀도_초안,관찰합계,관찰월분포,출처,기존200종,기존학명_낡음,대표색,주요서식지,AI난이도,비슷한꽃
14,생강나무,생강나무,Lindera obtusiloba,,Lauraceae,자생식물,8756,,,흔함,4083,1:67/2:12/3:344/4:757/5:764/6:539/7:362/8:290/9:468/10:409/11:67/12:4,GBIF관찰+KPNI정명,Y,,노랑,산지 등산로,상,산수유
,태백제비꽃,태백제비꽃,Viola albida,,Violaceae,자생식물,7180,4~5월,봄,흔함,2185,1:47/2:2/3:163/4:845/5:466/6:197/7:113/8:96/9:137/10:94/11:25/12:0,GBIF관찰+KPNI정명,,,,,,
,조록싸리,조록싸리,Lespedeza maximowiczii,,Fabaceae,자생식물,7159,5~9월,여름,흔함,2194,1:80/2:0/3:6/4:47/5:318/6:644/7:368/8:256/9:282/10:168/11:24/12:1,GBIF관찰+KPNI정명,,,,,,
,당단풍나무,당단풍나무,Acer pseudosieboldianum,,Aceraceae,자생식물,6680,,,흔함,2179,1:63/2:0/3:12/4:226/5:436/6:362/7:272/8:201/9:290/10:275/11:38/12:4,GBIF관찰+KPNI정명,,,,,,
,노린재나무,노린재나무,Symplocos sawafutagi,,Symplocaceae,자생식물,6670,5~6월,여름,흔함,2278,1:45/2:0/3:12/4:254/5:771/6:340/7:209/8:191/9:289/10:153/11:14/12:0,GBIF관찰+KPNI정명,,,,,,
,산초나무,산초나무,Zanthoxylum schinifolium,,Rutaceae,자생식물,6483,5~10월,여름,흔함,2943,1:179/2:8/3:31/4:139/5:455/6:350/7:411/8:441/9:559/10:334/11:35/12:1,GBIF관찰+KPNI정명,,,,,,
,때죽나무,때죽나무,Styrax japonicus,,Styracaceae,자생식물,6359,5~6월,여름,흔함,1906,1:39/2:6/3:25/4:154/5:649/6:300/7:224/8:157/9:222/10:120/11:10/12:0,GBIF관찰+KPNI정명,,,,,,
2,진달래,진달래,Rhododendron mucronulatum,,Ericaceae,자생식물,6243,3~5월,봄,흔함,2818,1:62/2:6/3:400/4:870/5:451/6:252/7:162/8:140/9:262/10:158/11:45/12:10,GBIF관찰+KPNI정명,Y,,분홍,산지·공원 사면,중,"철쭉,영산홍"
,닭의장풀,닭의장풀,Commelina communis,,Commelinaceae,자생식물,6015,6~9월,여름,흔함,2855,1:101/2:0/3:2/4:55/5:209/6:354/7:497/8:567/9:815/10:227/11:28/12:0,GBIF관찰+KPNI정명,,,,,,
,작살나무,작살나무,Callicarpa japonica,,Verbenaceae,자생식물,5837,5~10월,여름,흔함,2220,1:116/2:2/3:9/4:89/5:304/6:466/7:323/8:202/9:345/10:284/11:74/12:6,GBIF관찰+KPNI정명,,,,,,
,애기나리,애기나리,Disporum smilacinum,,Liliaceae,자생식물,5760,4~6월,봄,흔함,1983,1:53/2:0/3:7/4:305/5:648/6:284/7:174/8:156/9:219/10:125/11:12/12:0,GBIF관찰+KPNI정명,,,,,,
,산딸기,산딸기,Rubus crataegifolius,,Rosaceae,자생식물,5760,5~7월,여름,흔함,2594,1:49/2:0/3:15/4:293/5:847/6:510/7:324/8:182/9:174/10:159/11:41/12:0,GBIF관찰+KPNI정명,,,,,,
,청미래덩굴,청미래덩굴,Smilax china,,Liliaceae,자생식물,5753,4~6월,봄,흔함,2143,1:107/2:10/3:38/4:333/5:577/6:284/7:173/8:158/9:266/10:150/11:43/12:4,GBIF관찰+KPNI정명,,,,,,
26,쥐똥나무,쥐똥나무,Ligustrum obtusifolium,,Oleaceae,자생식물,5645,4~7월,여름,흔함,2245,1:74/2:3/3:48/4:211/5:595/6:456/7:211/8:188/9:247/10:161/11:46/12:5,GBIF관찰+KPNI정명,Y,,흰색,울타리·도로변,중,"이팝나무,조팝나무"
29,찔레꽃,찔레꽃,Rosa multiflora,,Rosaceae,자생식물,5463,4~6월,봄,흔함,1739,1:4/2:6/3:51/4:231/5:615/6:266/7:97/8:49/9:176/10:204/11:39/12:1,GBIF관찰+KPNI정명,Y,,흰색,들·산기슭,중,"장미,해당화"
,화살나무,화살나무,Euonymus alatus,,Celastraceae,자생식물,5391,4~6월,봄,흔함,2029,1:75/2:4/3:44/4:425/5:596/6:229/7:168/8:117/9:160/10:149/11:54/12:8,GBIF관찰+KPNI정명,,,,,,
,풍도둥굴레,풍도둥굴레,Polygonatum odoratum,,Liliaceae,자생식물,5292,4~6월,봄,흔함,1981,1:39/2:0/3:4/4:305/5:727/6:318/7:195/8:138/9:159/10:89/11:7/12:0,GBIF관찰+KPNI정명,,,,,,
,털고로쇠나무,털고로쇠나무,Acer pictum,,Aceraceae,자생식물,5174,4~9월,여름,흔함,1262,1:34/2:1/3:4/4:150/5:312/6:217/7:167/8:130/9:134/10:96/11:17/12:0,GBIF관찰+KPNI정명,,,,,,
99,사위질빵,사위질빵,Clematis apiifolia,,Ranunculaceae,자생식물,4934,,,흔함,2243,1:114/2:4/3:17/4:175/5:288/6:249/7:286/8:461/9:388/10:209/11:45/12:7,GBIF관찰+KPNI정명,Y,,흰색,산기슭·울타리,상,으아리
33,제비꽃,제비꽃,Viola mandshurica,,Violaceae,자생식물,4928,4~5월,봄,흔함,1629,1:56/2:0/3:48/4:578/5:452/6:118/7:78/8:62/9:117/10:89/11:28/12:3,GBIF관찰+KPNI정명,Y,,보라,길가·잔디밭,중,"남산제비꽃,팬지"
51,토끼풀,토끼풀,Trifolium repens,,Fabaceae,외래식물,4891,4~7월,여름,흔함,1808,1:37/2:3/3:33/4:186/5:522/6:356/7:204/8:139/9:129/10:134/11:57/12:8,GBIF관찰+KPNI정명,Y,,흰색,잔디밭·공원,하,붉은토끼풀
23,병꽃나무,병꽃나무,Weigela subsessilis,,Caprifoliaceae,자생식물,4890,4~6월,봄,흔함,2087,1:43/2:2/3:24/4:535/5:568/6:250/7:164/8:112/9:233/10:127/11:27/12:2,GBIF관찰+KPNI정명,Y,,붉은색,산지·공원,중,-
,졸방제비꽃,졸방제비꽃,Viola acuminata,,Violaceae,자생식물,4860,4~5월,봄,흔함,1427,1:22/2:0/3:11/4:337/5:632/6:168/7:84/8:62/9:74/10:35/11:2/12:0,GBIF관찰+KPNI정명,,,,,,
,쪽동백나무,쪽동백나무,Styrax obassia,,Styracaceae,자생식물,4852,5~7월,여름,흔함,1597,1:44/2:4/3:16/4:110/5:500/6:240/7:199/8:149/9:202/10:122/11:8/12:3,GBIF관찰+KPNI정명,,,,,,
134,큰까치수염,큰까치수염,Lysimachia clethroides,,Primulaceae,자생식물,4851,5~9월,여름,흔함,2399,1:77/2:0/3:6/4:122/5:318/6:653/7:496/8:269/9:272/10:168/11:18/12:0,GBIF관찰+KPNI정명,Y,,흰색,산기슭·풀밭,중,까치수염
,고추나무,고추나무,Staphylea bumalda,,Staphyleaceae,자생식물,4780,4~7월,여름,흔함,1389,1:27/2:6/3:16/4:214/5:395/6:229/7:167/8:110/9:158/10:55/11:11/12:1,GBIF관찰+KPNI정명,,,,,,
3,철쭉,철쭉,Rhododendron schlippenbachii,,Ericaceae,자생식물,4643,4~7월,여름,흔함,1840,1:27/2:3/3:13/4:334/5:521/6:258/7:186/8:154/9:187/10:144/11:12/12:1,GBIF관찰+KPNI정명,Y,,분홍,산지·공원,중,"진달래,영산홍"
92,싸리,싸리,Lespedeza bicolor,,Fabaceae,자생식물,4641,5~10월,여름,흔함,1922,1:84/2:1/3:5/4:46/5:171/6:252/7:392/8:330/9:452/10:178/11:10/12:1,GBIF관찰+KPNI정명,Y,,보라,산기슭·도로 사면,중,칡꽃
,미국자리공,미국자리공,Phytolacca americana,,Phytolaccaceae,외래식물,4629,5~10월,여름,흔함,2444,1:70/2:1/3:7/4:49/5:229/6:439/7:321/8:378/9:527/10:357/11:64/12:2,GBIF관찰+KPNI정명,,,,,,
,괭이밥,괭이밥,Oxalis corniculata,,Oxalidaceae,외래식물,4603,,,흔함,1494,1:70/2:1/3:20/4:165/5:304/6:272/7:168/8:129/9:174/10:146/11:45/12:0,GBIF관찰+KPNI정명,,,,,,
141,고마리,고마리,Persicaria thunbergii,,Polygonaceae,자생식물,4594,9~10월,가을,흔함,2363,1:156/2:0/3:8/4:75/5:217/6:374/7:183/8:180/9:693/10:422/11:55/12:0,GBIF관찰+KPNI정명,Y,,분홍,물가·논둑,중,여뀌
137,짚신나물,짚신나물,Agrimonia pilosa,,Rosaceae,자생식물,4522,5~9월,여름,흔함,2096,1:88/2:1/3:17/4:142/5:255/6:173/7:388/8:451/9:419/10:143/11:19/12:0,GBIF관찰+KPNI정명,Y,,노랑,산기슭·길가,상,-
,멍석딸기,멍석딸기,Rubus parvifolius,,Rosaceae,자생식물,4389,5~7월,여름,흔함,1452,1:32/2:0/3:4/4:115/5:377/6:408/7:222/8:132/9:100/10:51/11:10/12:1,GBIF관찰+KPNI정명,,,,,,
,두메꿀풀,두메꿀풀,Prunella vulgaris,,Lamiaceae,자생식물,4365,5~7월,여름,흔함,1193,1:14/2:0/3:5/4:44/5:279/6:452/7:245/8:88/9:39/10:21/11:6/12:0,GBIF관찰+KPNI정명,,,,,,
,댕댕이덩굴,댕댕이덩굴,Cocculus orbiculatus,,Menispermaceae,자생식물,4306,5~10월,여름,흔함,1903,1:115/2:0/3:9/4:65/5:283/6:343/7:260/8:290/9:303/10:200/11:32/12:3,GBIF관찰+KPNI정명,,,,,,
,으름덩굴,으름덩굴,Akebia quinata,,Lardizabalaceae,자생식물,4142,4~6월,봄,흔함,1938,1:53/2:1/3:46/4:480/5:441/6:242/7:138/8:127/9:191/10:173/11:43/12:3,GBIF관찰+KPNI정명,,,,,,
140,개여뀌,개여뀌,Persicaria longiseta,,Polygonaceae,자생식물,4065,9~10월,가을,흔함,1778,1:191/2:0/3:1/4:16/5:26/6:95/7:92/8:145/9:664/10:490/11:57/12:1,GBIF관찰+KPNI정명,Y,,분홍,길가·물가,상,여뀌
102,망초,망초,Erigeron canadensis,,Asteraceae,외래식물,4061,6~10월,여름,흔함,1368,1:115/2:2/3:12/4:40/5:102/6:163/7:178/8:254/9:330/10:143/11:27/12:2,GBIF관찰+KPNI정명,Y,Conyza canadensis,흰색,공터·길가,상,개망초
32,서양민들레,서양민들레,Taraxacum officinale,,Asteraceae,외래식물,4044,4~5월,봄,흔함,1808,1:41/2:6/3:137/4:634/5:401/6:177/7:99/8:57/9:104/10:110/11:34/12:8,GBIF관찰+KPNI정명,Y,,노랑,길가·공터,상,민들레
,노루발,노루발,Pyrola japonica,,Pyrolaceae,자생식물,4023,4~9월,여름,흔함,1646,1:76/2:14/3:83/4:218/5:253/6:364/7:217/8:151/9:158/10:95/11:13/12:4,GBIF관찰+KPNI정명,,,,,,
,참으아리,참으아리,Clematis terniflora,,Ranunculaceae,자생식물,3983,4~9월,여름,흔함,1465,1:68/2:1/3:17/4:117/5:244/6:266/7:224/8:221/9:180/10:92/11:35/12:0,GBIF관찰+KPNI정명,,,,,,
43,냉이,냉이,Capsella bursa-pastoris,,Brassicaceae,자생식물,3977,3~5월,봄,흔함,1521,1:12/2:16/3:234/4:645/5:404/6:84/7:31/8:31/9:24/10:26/11:13/12:1,GBIF관찰+KPNI정명,Y,,흰색,길가·밭,중,-
94,인동덩굴,인동덩굴,Lonicera japonica,,Caprifoliaceae,자생식물,3942,4~6월,봄,흔함,1192,1:3/2:3/3:29/4:121/5:299/6:323/7:82/8:43/9:110/10:135/11:42/12:2,GBIF관찰+KPNI정명,Y,,흰색,울타리·산기슭,중,-
,덜꿩나무,덜꿩나무,Viburnum erosum,,Caprifoliaceae,자생식물,3926,4~6월,봄,흔함,1425,1:47/2:3/3:14/4:265/5:431/6:167/7:102/8:100/9:137/10:128/11:29/12:2,GBIF관찰+KPNI정명,,,,,,
,소리쟁이,소리쟁이,Rumex crispus,,Polygonaceae,외래식물,3862,4~7월,여름,흔함,1129,1:17/2:4/3:40/4:132/5:299/6:266/7:136/8:75/9:83/10:58/11:17/12:2,GBIF관찰+KPNI정명,,,,,,
,누리장나무,누리장나무,Clerodendrum trichotomum,,Verbenaceae,자생식물,3844,5~10월,여름,흔함,2042,1:98/2:3/3:3/4:39/5:190/6:176/7:359/8:431/9:452/10:243/11:48/12:0,GBIF관찰+KPNI정명,,,,,,
,보리수나무,보리수나무,Elaeagnus umbellata,,Elaeagnaceae,자생식물,3785,4~6월,봄,흔함,1204,1:58/2:0/3:13/4:171/5:368/6:168/7:109/8:85/9:120/10:86/11:25/12:1,GBIF관찰+KPNI정명,,,,,,
,비목나무,비목나무,Lindera erythrocarpa,,Lauraceae,자생식물,3770,4~9월,여름,흔함,1096,1:62/2:5/3:14/4:202/5:204/6:144/7:119/8:145/9:110/10:63/11:27/12:1,GBIF관찰+KPNI정명,,,,,,
39,쇠별꽃,쇠별꽃,Stellaria aquatica,,Caryophyllaceae,자생식물,3765,5~6월,여름,흔함,1848,1:96/2:1/3:27/4:166/5:518/6:386/7:121/8:76/9:187/10:207/11:57/12:6,GBIF관찰+KPNI정명,Y,,흰색,습한 길가,상,별꽃
,돼지풀,돼지풀,Ambrosia artemisiifolia,,Asteraceae,외래식물,3764,6~9월,여름,흔함,1808,1:87/2:0/3:1/4:18/5:89/6:277/7:293/8:368/9:536/10:131/11:8/12:0,GBIF관찰+KPNI정명,,,,,,
,개옻나무,개옻나무,Toxicodendron trichocarpum,,Anacardiaceae,자생식물,3742,5~6월,여름,흔함,2083,1:52/2:0/3:22/4:208/5:622/6:399/7:201/8:149/9:276/10:141/11:12/12:1,GBIF관찰+KPNI정명,,,,,,
,산괴불주머니,산괴불주머니,Corydalis speciosa,,Fumariaceae,자생식물,3678,4~5월,봄,흔함,1423,1:10/2:15/3:193/4:619/5:385/6:80/7:30/8:27/9:38/10:20/11:6/12:0,GBIF관찰+KPNI정명,,,,,,
,계요등,계요등,Paederia foetida,,Rubiaceae,자생식물,3669,5~10월,여름,흔함,1944,1:77/2:8/3:12/4:53/5:184/6:220/7:339/8:421/9:363/10:165/11:100/12:2,GBIF관찰+KPNI정명,,,,,,
,둥근잎천남성,둥근잎천남성,Arisaema amurense,,Araceae,자생식물,3657,4~6월,봄,흔함,1249,1:18/2:0/3:8/4:261/5:455/6:174/7:84/8:55/9:103/10:74/11:17/12:0,GBIF관찰+KPNI정명,,,,,,
,이고들빼기,이고들빼기,Crepidiastrum denticulatum,,Asteraceae,자생식물,3610,9~10월,가을,흔함,1801,1:265/2:0/3:7/4:60/5:169/6:112/7:85/8:114/9:639/10:320/11:29/12:1,GBIF관찰+KPNI정명,,,,,,
,산박하,산박하,Isodon inflexus,,Lamiaceae,자생식물,3609,8~10월,가을,흔함,1777,1:227/2:0/3:1/4:41/5:93/6:105/7:140/8:244/9:644/10:260/11:22/12:0,GBIF관찰+KPNI정명,,,,,,
,맑은대쑥,맑은대쑥,Artemisia keiskeana,,Asteraceae,자생식물,3597,5~10월,여름,흔함,1823,1:131/2:0/3:11/4:122/5:249/6:175/7:184/8:251/9:451/10:229/11:20/12:0,GBIF관찰+KPNI정명,,,,,,
,층층나무,층층나무,Cornus controversa,,Cornaceae,자생식물,3593,4~9월,여름,흔함,1536,1:35/2:5/3:22/4:178/5:418/6:249/7:170/8:151/9:177/10:108/11:22/12:1,GBIF관찰+KPNI정명,,,,,,
,담쟁이덩굴,담쟁이덩굴,Parthenocissus tricuspidata,,Vitaceae,자생식물,3562,,,흔함,1726,1:52/2:1/3:14/4:152/5:368/6:298/7:245/8:160/9:240/10:166/11:27/12:3,GBIF관찰+KPNI정명,,,,,,
,노박덩굴,노박덩굴,Celastrus orbiculatus,,Celastraceae,자생식물,3560,5~10월,여름,흔함,1500,1:80/2:2/3:3/4:95/5:343/6:291/7:186/8:138/9:173/10:126/11:50/12:13,GBIF관찰+KPNI정명,,,,,,
35,꽃마리,꽃마리,Trigonotis peduncularis,,Boraginaceae,자생식물,3541,4~5월,봄,흔함,1737,1:16/2:35/3:233/4:666/5:544/6:82/7:30/8:24/9:30/10:42/11:31/12:4,GBIF관찰+KPNI정명,Y,,파랑,길가·잔디밭,상,큰개불알풀
196,미국가막사리,미국가막사리,Bidens frondosa,,Asteraceae,외래식물,3538,9~10월,가을,흔함,1404,1:143/2:0/3:1/4:10/5:37/6:210/7:95/8:74/9:413/10:371/11:50/12:0,GBIF관찰+KPNI정명,Y,,노랑,물가·공터,중,-
46,고들빼기,고들빼기,Crepidiastrum sonchifolium,,Asteraceae,자생식물,3468,4~6월,봄,흔함,1277,1:25/2:0/3:19/4:197/5:500/6:260/7:120/8:56/9:63/10:29/11:7/12:1,GBIF관찰+KPNI정명,Y,,노랑,길가·공터,상,"씀바귀,뽀리뱅이"
,미나리냉이,미나리냉이,Cardamine leucantha,,Brassicaceae,자생식물,3438,4~5월,봄,흔함,1215,1:2/2:2/3:52/4:375/5:504/6:134/7:41/8:29/9:43/10:25/11:7/12:1,GBIF관찰+KPNI정명,,,,,,
,조선현호색,조선현호색,Corydalis turtschaninovii,,Fumariaceae,자생식물,3432,3~4월,봄,흔함,1501,1:1/2:22/3:374/4:871/5:163/6:18/7:15/8:15/9:16/10:0/11:6/12:0,GBIF관찰+KPNI정명,,,,,,
,땅비싸리,땅비싸리,Indigofera kirilowii,,Fabaceae,자생식물,3410,5~6월,여름,흔함,1155,1:35/2:0/3:4/4:78/5:477/6:244/7:96/8:72/9:94/10:53/11:2/12:0,GBIF관찰+KPNI정명,,,,,,
,쇠물푸레나무,쇠물푸레나무,Fraxinus sieboldiana,,Oleaceae,자생식물,3396,,,흔함,428,1:0/2:0/3:7/4:66/5:95/6:74/7:56/8:39/9:50/10:36/11:5/12:0,GBIF관찰+KPNI정명,,,,,,
193,며느리밥풀꽃,꽃며느리밥풀,Melampyrum roseum,,Scrophulariaceae,자생식물,3375,7~9월,여름,흔함,1255,1:121/2:0/3:1/4:7/5:45/6:57/7:158/8:424/9:364/10:64/11:14/12:0,GBIF관찰+KPNI정명,Y,,분홍,산지 숲,중,-
,청가시덩굴,청가시덩굴,Smilax sieboldii,,Liliaceae,자생식물,3371,5~6월,여름,흔함,1724,1:85/2:0/3:7/4:124/5:471/6:272/7:161/8:152/9:288/10:130/11:33/12:1,GBIF관찰+KPNI정명,,,,,,
36,큰개불알풀,큰개불알풀,Veronica persica,,Scrophulariaceae,외래식물,3345,3~5월,봄,흔함,1753,1:37/2:182/3:575/4:492/5:245/6:75/7:28/8:18/9:27/10:26/11:36/12:12,GBIF관찰+KPNI정명,Y,,파랑,길가·밭,중,꽃마리
21,아까시나무,아까시나무,Robinia pseudoacacia,,Fabaceae,재배식물,3318,5~6월,여름,흔함,1672,1:47/2:9/3:23/4:160/5:539/6:276/7:164/8:122/9:183/10:125/11:18/12:6,GBIF관찰+KPNI정명,Y,,흰색,산지·도로변,중,회화나무
45,씀바귀,씀바귀,Ixeridium dentatum,,Asteraceae,자생식물,3272,5~6월,여름,흔함,1020,1:14/2:0/3:10/4:79/5:452/6:286/7:70/8:38/9:43/10:22/11:5/12:1,GBIF관찰+KPNI정명,Y,Ixeris dentata,노랑,길가·들,상,"고들빼기,민들레"
115,달맞이꽃,달맞이꽃,Oenothera biennis,,Onagraceae,외래식물,3251,5~10월,여름,흔함,565,1:2/2:11/3:15/4:36/5:85/6:60/7:55/8:57/9:138/10:82/11:20/12:4,GBIF관찰+KPNI정명,Y,,노랑,하천변·공터,중,낮달맞이꽃
47,뽀리뱅이,뽀리뱅이,Youngia japonica,,Asteraceae,자생식물,3164,4~6월,봄,흔함,1330,1:12/2:4/3:46/4:294/5:587/6:221/7:57/8:35/9:40/10:28/11:6/12:0,GBIF관찰+KPNI정명,Y,,노랑,길가·화단 틈,상,고들빼기
,선밀나물,선밀나물,Smilax nipponica,,Liliaceae,자생식물,3155,5~6월,여름,흔함,1471,1:38/2:0/3:4/4:167/5:547/6:206/7:119/8:108/9:155/10:115/11:12/12:0,GBIF관찰+KPNI정명,,,,,,
,황새냉이,황새냉이,Cardamine flexuosa,,Brassicaceae,자생식물,3142,4~5월,봄,흔함,1071,1:29/2:8/3:65/4:364/5:344/6:74/7:34/8:35/9:51/10:48/11:18/12:1,GBIF관찰+KPNI정명,,,,,,
194,왕고들빼기,왕고들빼기,Lactuca indica,,Asteraceae,자생식물,3128,8~10월,가을,흔함,1760,1:173/2:0/3:4/4:50/5:103/6:192/7:148/8:272/9:571/10:222/11:24/12:1,GBIF관찰+KPNI정명,Y,,노랑,공터·길가,중,고들빼기
90,자귀나무,자귀나무,Albizia julibrissin,,Fabaceae,자생식물,3106,6~9월,여름,흔함,1345,1:46/2:1/3:6/4:37/5:100/6:381/7:308/8:176/9:150/10:115/11:24/12:1,GBIF관찰+KPNI정명,Y,,분홍,공원·도로변,하,-
,오이풀,오이풀,Sanguisorba officinalis,,Rosaceae,자생식물,3075,5~10월,여름,흔함,1325,1:144/2:0/3:6/4:93/5:191/6:124/7:102/8:259/9:284/10:108/11:14/12:0,GBIF관찰+KPNI정명,,,,,,
,큰개별꽃,큰개별꽃,Pseudostellaria palibiniana,,Caryophyllaceae,자생식물,3058,4~5월,봄,흔함,846,1:4/2:0/3:59/4:311/5:234/6:84/7:54/8:34/9:39/10:14/11:12/12:1,GBIF관찰+KPNI정명,,,,,,
,털개머루,털개머루,Ampelopsis glandulosa,,Vitaceae,자생식물,3054,5~9월,여름,흔함,1525,1:76/2:0/3:2/4:47/5:176/6:280/7:356/8:277/9:216/10:71/11:24/12:0,GBIF관찰+KPNI정명,,,,,,
,사스레피나무,사스레피나무,Eurya japonica,,Theaceae,자생식물,3022,,,흔함,880,1:69/2:21/3:121/4:142/5:121/6:100/7:66/8:55/9:69/10:67/11:45/12:4,GBIF관찰+KPNI정명,,,,,,
,단풍나무,단풍나무,Acer palmatum,,Aceraceae,자생식물,3009,,,흔함,985,1:21/2:1/3:7/4:125/5:184/6:119/7:100/8:82/9:105/10:122/11:113/12:6,GBIF관찰+KPNI정명,,,,,,
132,돌나물,돌나물,Sedum sarmentosum,,Crassulaceae,자생식물,3001,4~7월,여름,흔함,1275,1:27/2:6/3:48/4:149/5:330/6:324/7:121/8:84/9:89/10:81/11:14/12:2,GBIF관찰+KPNI정명,Y,,노랑,담장·바위 틈,중,기린초
186,미국쑥부쟁이,미국쑥부쟁이,Symphyotrichum pilosum,,Asteraceae,외래식물,2998,9~10월,가을,흔함,1409,1:127/2:1/3:3/4:33/5:54/6:79/7:100/8:105/9:442/10:411/11:52/12:2,GBIF관찰+KPNI정명,Y,,흰색,공터·도로변,상,"쑥부쟁이,개망초"
,미나리아재비,미나리아재비,Ranunculus japonicus,,Ranunculaceae,자생식물,2967,5월,봄,흔함,548,1:11/2:0/3:3/4:77/5:269/6:92/7:47/8:30/9:14/10:4/11:1/12:0,GBIF관찰+KPNI정명,,,,,,
,단풍잎돼지풀,단풍잎돼지풀,Ambrosia trifida,,Asteraceae,외래식물,2954,5~9월,여름,흔함,2385,1:14/2:1/3:8/4:33/5:228/6:402/7:379/8:424/9:636/10:196/11:63/12:1,GBIF관찰+KPNI정명,,,,,,
,까마중,까마중,Solanum nigrum,,Solanaceae,외래식물,2941,7~10월,가을,흔함,1117,1:106/2:1/3:2/4:12/5:23/6:68/7:138/8:169/9:316/10:212/11:68/12:2,GBIF관찰+KPNI정명,,,,,,
,참싸리,참싸리,Lespedeza cyrtobotrya,,Fabaceae,자생식물,2931,7~9월,여름,흔함,1057,1:88/2:0/3:1/4:10/5:30/6:73/7:221/8:255/9:274/10:93/11:12/12:0,GBIF관찰+KPNI정명,,,,,,
,만첩조팝나무,만첩조팝나무,Spiraea prunifolia,,Rosaceae,재배식물,2923,4~5월,봄,흔함,1176,1:15/2:4/3:74/4:525/5:328/6:78/7:53/8:29/9:20/10:40/11:10/12:0,GBIF관찰+KPNI정명,,,,,,
142,이삭여뀌,이삭여뀌,Persicaria filiformis,,Polygonaceae,자생식물,2907,7~10월,가을,흔함,1413,1:75/2:0/3:1/4:70/5:148/6:100/7:160/8:258/9:416/10:172/11:13/12:0,GBIF관찰+KPNI정명,Y,,붉은색,산지 숲,상,여뀌
,다래,다래,Actinidia arguta,,Actinidiaceae,자생식물,2884,4~9월,여름,흔함,1153,1:16/2:5/3:15/4:106/5:267/6:273/7:150/8:117/9:130/10:71/11:3/12:0,GBIF관찰+KPNI정명,,,,,,
,며느리밑씻개,며느리밑씻개,Persicaria senticosa,,Polygonaceae,자생식물,2883,5~9월,여름,흔함,1459,1:58/2:0/3:1/4:23/5:151/6:239/7:265/8:268/9:388/10:54/11:12/12:0,GBIF관찰+KPNI정명,,,,,,
25,산딸나무,산딸나무,Cornus kousa,,Cornaceae,자생식물,2877,5~6월,여름,흔함,737,1:9/2:3/3:7/4:45/5:207/6:160/7:65/8:96/9:92/10:42/11:11/12:0,GBIF관찰+KPNI정명,Y,,흰색,공원·가로수,하,-
,단풍박쥐나무,단풍박쥐나무,Alangium platanifolium,,Alangiaceae,자생식물,2875,5~7월,여름,흔함,961,1:25/2:1/3:5/4:57/5:285/6:204/7:110/8:90/9:122/10:54/11:7/12:1,GBIF관찰+KPNI정명,,,,,,
190,투구꽃,투구꽃,Aconitum jaluense,,Ranunculaceae,자생식물,2866,9~10월,가을,흔함,639,1:79/2:0/3:18/4:65/5:90/6:44/7:34/8:50/9:169/10:79/11:11/12:0,GBIF관찰+KPNI정명,Y,,보라,산지 숲,중,-
,각시붓꽃,각시붓꽃,Iris rossii,,Iridaceae,자생식물,2865,4~5월,봄,흔함,1126,1:6/2:0/3:12/4:621/5:325/6:79/7:29/8:21/9:17/10:14/11:2/12:0,GBIF관찰+KPNI정명,,,,,,
40,개별꽃,개별꽃,Pseudostellaria heterophylla,,Caryophyllaceae,자생식물,2859,4~5월,봄,흔함,1120,1:2/2:0/3:57/4:532/5:351/6:76/7:29/8:34/9:18/10:20/11:1/12:0,GBIF관찰+KPNI정명,Y,,흰색,산지 숲,상,별꽃
,꽃다지,꽃다지,Draba nemorosa,,Brassicaceae,자생식물,2843,3~5월,봄,흔함,1160,1:5/2:19/3:265/4:568/5:208/6:34/7:23/8:19/9:8/10:4/11:4/12:3,GBIF관찰+KPNI정명,,,,,,
,털별꽃아재비,털별꽃아재비,Galinsoga quadriradiata,,Asteraceae,외래식물,2832,6~10월,여름,흔함,1077,1:44/2:0/3:1/4:4/5:39/6:164/7:138/8:110/9:265/10:253/11:59/12:0,GBIF관찰+KPNI정명,,,,,,
41,광대나물,광대나물,Lamium amplexicaule,,Lamiaceae,자생식물,2829,3~4월,봄,흔함,1729,1:45/2:124/3:494/4:591/5:197/6:55/7:22/8:16/9:27/10:55/11:84/12:19,GBIF관찰+KPNI정명,Y,,분홍,길가·밭,중,자주광대나물
,고깔제비꽃,고깔제비꽃,Viola rossii,,Violaceae,자생식물,2825,4~5월,봄,흔함,1181,1:27/2:0/3:32/4:532/5:251/6:117/7:70/8:48/9:62/10:38/11:4/12:0,GBIF관찰+KPNI정명,,,,,,
,나비나물,나비나물,Vicia unijuga,,Fabaceae,자생식물,2781,5~9월,여름,흔함,1023,1:81/2:0/3:5/4:44/5:123/6:144/7:137/8:125/9:261/10:91/11:12/12:0,GBIF관찰+KPNI정명,,,,,,
,두릅나무,두릅나무,Aralia elata,,Araliaceae,자생식물,2756,,,흔함,1321,1:48/2:6/3:27/4:158/5:252/6:200/7:146/8:157/9:177/10:128/11:22/12:0,GBIF관찰+KPNI정명,,,,,,
,까실쑥부쟁이,까실쑥부쟁이,Aster ageratoides,,Asteraceae,자생식물,2738,9~10월,가을,흔함,1011,1:191/2:0/3:9/4:30/5:21/6:30/7:39/8:105/9:399/10:170/11:17/12:0,GBIF관찰+KPNI정명,,,,,,
