파일명,도감번호,이름,학명,과,개화기_초안,희귀도_초안,상태
0047_뽀리뱅이.png,47,뽀리뱅이,Youngia japonica,Asteraceae,4~6월,흔함,납품됨(4자리로 개명 필요)
0048_지칭개.png,48,지칭개,Hemistepta lyrata,,,,납품됨(4자리로 개명 필요)
0049_엉겅퀴.png,49,엉겅퀴,Cirsium japonicum var. maackii,Asteraceae,5~7월,,납품됨(4자리로 개명 필요)
0050_유채꽃.png,50,유채꽃,Brassica napus,Brassicaceae,4~5월,흔함,납품됨(4자리로 개명 필요)
0051_토끼풀.png,51,토끼풀,Trifolium repens,Fabaceae,4~7월,흔함,납품됨(4자리로 개명 필요)
0052_붉은토끼풀.png,52,붉은토끼풀,Trifolium pratense,Fabaceae,5~9월,흔함,납품됨(4자리로 개명 필요)
0053_살갈퀴.png,53,살갈퀴,Vicia sativa,Fabaceae,4~5월,흔함,납품됨(4자리로 개명 필요)
0054_자운영.png,54,자운영,Astragalus sinicus,Fabaceae,4~5월,흔함,납품됨(4자리로 개명 필요)
0055_벌노랑이.png,55,벌노랑이,Lotus corniculatus var. japonica,Fabaceae,5~8월,,납품됨(4자리로 개명 필요)
0056_금낭화.png,56,금낭화,Lamprocapnos spectabilis,Papaveraceae,4~5월,흔함,납품됨(4자리로 개명 필요)
0057_현호색.png,57,현호색,Corydalis remota,Fumariaceae,,,납품됨(4자리로 개명 필요)
0058_할미꽃.png,58,할미꽃,Pulsatilla koreana,Ranunculaceae,,,납품됨(4자리로 개명 필요)
0059_노루귀.png,59,노루귀,Hepatica asiatica,Ranunculaceae,2~5월,흔함,납품됨(4자리로 개명 필요)
0060_복수초.png,60,복수초,Adonis amurensis,Ranunculaceae,3~5월,흔함,납품됨(4자리로 개명 필요)
0061_변산바람꽃.png,61,변산바람꽃,Eranthis byunsanensis,Ranunculaceae,2~3월,보통,납품됨(4자리로 개명 필요)
0062_앵초.png,62,앵초,Primula sieboldii,Primulaceae,4~5월,흔함,납품됨(4자리로 개명 필요)
0063_은방울꽃.png,63,은방울꽃,Convallaria keiskei,Liliaceae,4~6월,흔함,납품됨(4자리로 개명 필요)
0064_붓꽃.png,64,붓꽃,Iris sanguinea,Iridaceae,5월,흔함,납품됨(4자리로 개명 필요)
0065_꽃창포.png,65,꽃창포,Iris ensata,Iridaceae,5~7월,흔함,납품됨(4자리로 개명 필요)
0066_노랑꽃창포.png,66,노랑꽃창포,Iris pseudacorus,Iridaceae,5월,흔함,납품됨(4자리로 개명 필요)
0067_등심붓꽃.png,67,등심붓꽃,Sisyrinchium rosulatum,Iridaceae,,보통,납품됨(4자리로 개명 필요)
0068_튤립.png,68,튤립,Tulipa gesneriana,,,,납품됨(4자리로 개명 필요)
0069_수선화.png,69,수선화,Narcissus tazetta,,,,납품됨(4자리로 개명 필요)
0070_히아신스.png,70,히아신스,Hyacinthus orientalis,,,,납품됨(4자리로 개명 필요)
0071_무스카리.png,71,무스카리,Muscari armeniacum,,,,납품됨(4자리로 개명 필요)
0072_크로커스.png,72,크로커스,Crocus vernus,,,,납품됨(4자리로 개명 필요)
0073_팬지.png,73,팬지,Viola wittrockiana,,,,납품됨(4자리로 개명 필요)
0074_비올라.png,74,비올라,Viola cornuta,,,,납품됨(4자리로 개명 필요)
0075_데이지.png,75,데이지,Bellis perennis,Asteraceae,,보통,납품됨(4자리로 개명 필요)
0076_프리지어.png,76,프리지어,Freesia refracta,,,,납품됨(4자리로 개명 필요)
0077_라넌큘러스.png,77,라넌큘러스,Ranunculus asiaticus,,,,납품됨(4자리로 개명 필요)
0078_아네모네.png,78,아네모네,Anemone coronaria,,,,납품됨(4자리로 개명 필요)
0079_꽃잔디.png,79,꽃잔디,Phlox subulata,,,,납품됨(4자리로 개명 필요)
0080_물망초.png,80,물망초,Myosotis scorpioides,Boraginaceae,,,납품됨(4자리로 개명 필요)
0081_장미.png,81,장미,Rosa hybrida,,,,납품됨(4자리로 개명 필요)
0082_해당화.png,82,해당화,Rosa rugosa,Rosaceae,5~8월,흔함,납품됨(4자리로 개명 필요)
0083_수국.png,83,수국,Hydrangea macrophylla,Saxifragaceae,4~7월,보통,납품됨(4자리로 개명 필요)
0084_산수국.png,84,산수국,Hydrangea serrata,Saxifragaceae,6~7월,흔함,납품됨(4자리로 개명 필요)
0085_나무수국.png,85,나무수국,Hydrangea paniculata,Saxifragaceae,7~9월,보통,납품됨(4자리로 개명 필요)
0086_능소화.png,86,능소화,Campsis grandiflora,Bignoniaceae,6~8월,보통,납품됨(4자리로 개명 필요)
0087_배롱나무.png,87,배롱나무,Lagerstroemia indica,Lythraceae,7~9월,흔함,납품됨(4자리로 개명 필요)
0088_무궁화.png,88,무궁화,Hibiscus syriacus,Malvaceae,7~9월,흔함,납품됨(4자리로 개명 필요)
0089_부용.png,89,부용,Hibiscus mutabilis,Malvaceae,6~10월,보통,납품됨(4자리로 개명 필요)
0090_자귀나무.png,90,자귀나무,Albizia julibrissin,Fabaceae,6~9월,흔함,납품됨(4자리로 개명 필요)
0091_회화나무.png,91,회화나무,Styphnolobium japonicum,Fabaceae,7~8월,보통,납품됨(4자리로 개명 필요)
0092_싸리.png,92,싸리,Lespedeza bicolor,Fabaceae,5~10월,흔함,납품됨(4자리로 개명 필요)
0093_칡꽃.png,93,칡꽃,Pueraria lobata,Fabaceae,,,납품됨(4자리로 개명 필요)
0094_인동덩굴.png,94,인동덩굴,Lonicera japonica,Caprifoliaceae,4~6월,흔함,납품됨(4자리로 개명 필요)
0095_치자나무.png,95,치자나무,Gardenia jasminoides,Rubiaceae,12월,보통,납품됨(4자리로 개명 필요)
0096_모감주나무.png,96,모감주나무,Koelreuteria paniculata,Sapindaceae,6~8월,흔함,납품됨(4자리로 개명 필요)
0097_개오동.png,97,개오동,Catalpa ovata,Bignoniaceae,5~8월,보통,납품됨(4자리로 개명 필요)
0098_큰꽃으아리.png,98,큰꽃으아리,Clematis patens,Ranunculaceae,5월,흔함,납품됨(4자리로 개명 필요)
0099_사위질빵.png,99,사위질빵,Clematis apiifolia,Ranunculaceae,,흔함,납품됨(4자리로 개명 필요)
0100_으아리.png,100,으아리,Clematis mandshurica,Ranunculaceae,,,납품됨(4자리로 개명 필요)
0101_개망초.png,101,개망초,Erigeron annuus,Asteraceae,,,납품됨(4자리로 개명 필요)
0102_망초.png,102,망초,Erigeron canadensis,Asteraceae,6~10월,흔함,납품됨(4자리로 개명 필요)
0103_실망초.png,103,실망초,Erigeron bonariensis,Asteraceae,6~10월,흔함,납품됨(4자리로 개명 필요)
0104_큰금계국.png,104,큰금계국,Coreopsis lanceolata,Asteraceae,5~7월,흔함,납품됨(4자리로 개명 필요)
0105_금계국.png,105,금계국,Coreopsis basalis,Asteraceae,5~9월,보통,납품됨(4자리로 개명 필요)
0106_기생초.png,106,기생초,Coreopsis tinctoria,Asteraceae,6~9월,보통,납품됨(4자리로 개명 필요)
0107_원추천인국.png,107,원추천인국,Rudbeckia bicolor,Asteraceae,,,납품됨(4자리로 개명 필요)
0108_삼잎국화.png,108,삼잎국화,Rudbeckia laciniata,Asteraceae,5~8월,보통,납품됨(4자리로 개명 필요)
0109_해바라기.png,109,해바라기,Helianthus annuus,Asteraceae,7~10월,보통,납품됨(4자리로 개명 필요)
0110_코스모스.png,110,코스모스,Cosmos bipinnatus,Asteraceae,9~10월,흔함,납품됨(4자리로 개명 필요)
0111_노랑코스모스.png,111,노랑코스모스,Cosmos sulphureus,Asteraceae,8~10월,보통,납품됨(4자리로 개명 필요)
0112_나팔꽃.png,112,나팔꽃,Ipomoea nil,Convolvulaceae,7~10월,흔함,납품됨(4자리로 개명 필요)
0113_메꽃.png,113,메꽃,Calystegia pubescens,Convolvulaceae,5~9월,흔함,납품됨(4자리로 개명 필요)
0114_애기나팔꽃.png,114,애기나팔꽃,Ipomoea lacunosa,Convolvulaceae,9~10월,흔함,납품됨(4자리로 개명 필요)
0115_달맞이꽃.png,115,달맞이꽃,Oenothera biennis,Onagraceae,5~10월,흔함,납품됨(4자리로 개명 필요)
0116_낮달맞이꽃.png,116,낮달맞이꽃,Oenothera tetragona,,,,납품됨(4자리로 개명 필요)
0117_접시꽃.png,117,접시꽃,Alcea rosea,Malvaceae,6~7월,보통,납품됨(4자리로 개명 필요)
0118_패랭이꽃.png,118,패랭이꽃,Dianthus chinensis,Caryophyllaceae,6~9월,흔함,납품됨(4자리로 개명 필요)
0119_수염패랭이꽃.png,119,수염패랭이꽃,Dianthus barbatus var. asiaticus,,,,납품됨(4자리로 개명 필요)
0120_술패랭이꽃.png,120,술패랭이꽃,Dianthus longicalyx,Caryophyllaceae,7~8월,흔함,납품됨(4자리로 개명 필요)
0121_끈끈이대나물.png,121,끈끈이대나물,Silene armeria,Caryophyllaceae,,,납품됨(4자리로 개명 필요)
0122_꿀풀.png,122,꿀풀,Prunella vulgaris subsp. asiatica,Lamiaceae,5~7월,,납품됨(4자리로 개명 필요)
0123_배초향.png,123,배초향,Agastache rugosa,Lamiaceae,8~10월,흔함,납품됨(4자리로 개명 필요)
0124_익모초.png,124,익모초,Leonurus japonicus,Lamiaceae,6~10월,흔함,납품됨(4자리로 개명 필요)
0125_층층이꽃.png,125,층층이꽃,Clinopodium chinense var. parviflorum,,,,납품됨(4자리로 개명 필요)
0126_박하.png,126,박하,Mentha arvensis var. piperascens,,,,납품됨(4자리로 개명 필요)
0127_라벤더.png,127,라벤더,Lavandula angustifolia,,,,납품됨(4자리로 개명 필요)
